Brand,Model,Processor,RAM (GB),Storage (GB),Screen Size (inches),Graphics Card,Operating System,Weight (kg),Battery Life (hours),Price ($),Warranty (years)
Asus,Model 775,Intel i7,16,256,14.0,NVIDIA GTX 1650,Linux,2.67,8.9,1367.57,2
Dell,Model 776,Intel i7,8,512,13.3,NVIDIA RTX 3060,Windows 11,2.64,7.5,1809.63,3
Razer,Model 777,Intel i9,32,512,17.0,NVIDIA RTX 3060,macOS,2.11,11.3,2625.77,1
Razer,Model 778,Intel i5,64,256,15.6,Intel UHD,macOS,1.87,12.8,2248.43,2
Apple,Model 779,AMD Ryzen 7,64,1024,15.6,NVIDIA RTX 3070,Windows 10,3.09,9.5,3144.6,1
Dell,Model 780,AMD Ryzen 5,8,2048,13.3,Intel UHD,Linux,2.9,3.4,1603.86,3
Apple,Model 781,Intel i7,16,512,13.3,Intel UHD,Linux,1.8,10.4,2109.5,3
Razer,Model 782,Intel i5,16,256,14.0,NVIDIA GTX 1650,Windows 10,1.26,3.7,1863.53,1
Lenovo,Model 783,Intel i9,64,512,14.0,Intel UHD,Linux,1.18,10.4,2074.19,1
HP,Model 784,AMD Ryzen 9,16,2048,17.0,Intel UHD,Windows 11,1.24,11.2,2057.57,2
Dell,Model 785,Intel i7,8,1024,13.3,AMD Radeon,Windows 11,2.46,5.4,1808.32,2
MSI,Model 786,Intel i9,64,1024,17.0,NVIDIA RTX 3060,macOS,1.13,12.8,2982.49,1
Razer,Model 787,AMD Ryzen 5,32,1024,13.3,NVIDIA RTX 3060,Windows 11,1.84,13.9,2559.38,2
Razer,Model 788,AMD Ryzen 7,32,256,15.6,NVIDIA RTX 3070,Linux,2.88,12.8,2527.68,1
MSI,Model 789,Intel i7,16,256,13.3,NVIDIA RTX 3060,Windows 10,1.74,6.7,1769.16,1
Acer,Model 790,Intel i7,64,1024,13.3,NVIDIA RTX 3070,macOS,2.91,10.0,2284.64,1
Razer,Model 791,AMD Ryzen 5,64,2048,15.6,AMD Radeon,Windows 10,2.86,14.0,2762.95,3
Asus,Model 792,AMD Ryzen 9,32,2048,13.3,NVIDIA RTX 3060,macOS,1.61,6.8,2212.54,1
Lenovo,Model 793,Intel i5,64,256,17.0,AMD Radeon,macOS,2.82,12.8,1533.09,1
Dell,Model 794,AMD Ryzen 7,64,1024,14.0,NVIDIA RTX 3060,Windows 10,2.87,3.1,2020.14,1
MSI,Model 795,Intel i7,64,2048,14.0,NVIDIA RTX 3060,Windows 11,1.99,3.0,2852.57,2
Asus,Model 796,AMD Ryzen 7,16,2048,17.0,AMD Radeon,Windows 11,1.53,12.1,1844.57,1
MSI,Model 797,Intel i7,64,2048,15.6,Intel UHD,Windows 11,2.3,12.1,2677.93,3
Dell,Model 798,AMD Ryzen 7,8,256,13.3,Intel UHD,Windows 11,3.3,12.5,1533.15,3
Apple,Model 799,Intel i9,16,1024,17.0,Intel UHD,Windows 10,2.6,14.2,2490.06,1
Dell,Model 800,Intel i7,64,512,14.0,Intel UHD,Linux,1.43,4.4,2023.34,1
Acer,Model 801,AMD Ryzen 7,64,1024,14.0,NVIDIA RTX 3060,macOS,2.71,5.8,1901.79,1
Dell,Model 802,Intel i5,8,1024,17.0,NVIDIA GTX 1650,Windows 10,2.07,13.8,1801.22,3
Dell,Model 803,Intel i9,16,256,14.0,AMD Radeon,Windows 11,2.48,5.1,1684.36,2
Acer,Model 804,Intel i9,32,2048,17.0,NVIDIA GTX 1650,Windows 11,2.84,11.2,2022.43,2
Lenovo,Model 805,Intel i5,32,2048,14.0,NVIDIA GTX 1650,Windows 10,2.29,9.4,1651.22,1
Razer,Model 806,AMD Ryzen 7,16,256,17.0,NVIDIA RTX 3070,macOS,3.03,4.0,2408.52,2
Dell,Model 807,AMD Ryzen 5,64,256,13.3,Intel UHD,Windows 10,2.81,6.4,1733.19,3
Acer,Model 808,Intel i5,64,256,13.3,NVIDIA RTX 3060,Windows 10,2.54,9.2,1946.16,1
Asus,Model 809,AMD Ryzen 7,32,256,13.3,Intel UHD,Linux,1.38,13.2,1499.01,2
Apple,Model 810,Intel i5,32,256,13.3,Intel UHD,Windows 10,3.09,11.5,1986.27,1
Apple,Model 811,Intel i5,32,512,14.0,NVIDIA GTX 1650,Linux,3.34,10.5,2125.74,1
Dell,Model 812,Intel i7,8,1024,15.6,NVIDIA RTX 3070,macOS,1.34,9.0,2483.05,3
Lenovo,Model 813,AMD Ryzen 7,32,1024,17.0,Intel UHD,Windows 10,2.22,6.6,1744.28,3
Lenovo,Model 814,AMD Ryzen 5,8,1024,15.6,AMD Radeon,Windows 10,1.65,4.4,1564.38,2
Asus,Model 815,Intel i7,16,2048,14.0,AMD Radeon,Windows 11,2.89,7.9,1650.27,3
Dell,Model 816,Intel i5,64,512,14.0,Intel UHD,Windows 10,2.8,3.3,1651.36,1
Apple,Model 817,AMD Ryzen 9,32,1024,15.6,NVIDIA GTX 1650,Windows 11,1.35,5.5,2838.54,3
Lenovo,Model 818,Intel i5,64,2048,15.6,NVIDIA GTX 1650,Windows 11,3.19,8.2,2018.94,2
Dell,Model 819,Intel i5,64,512,14.0,NVIDIA RTX 3060,Windows 11,1.45,8.0,2320.62,2
MSI,Model 820,AMD Ryzen 7,32,512,14.0,NVIDIA RTX 3070,macOS,2.99,3.5,2198.11,2
Lenovo,Model 821,AMD Ryzen 7,32,2048,17.0,NVIDIA GTX 1650,Linux,2.14,10.1,2285.5,3
Acer,Model 822,Intel i7,16,512,13.3,NVIDIA RTX 3060,Windows 11,1.82,9.6,2141.83,3
MSI,Model 823,AMD Ryzen 5,8,2048,13.3,AMD Radeon,Windows 10,1.4,3.9,1890.27,3
Razer,Model 824,Intel i7,8,1024,17.0,AMD Radeon,Windows 10,1.42,14.3,2303.47,3
Lenovo,Model 825,Intel i9,64,2048,15.6,AMD Radeon,Windows 11,2.65,4.2,2561.21,3
Apple,Model 826,Intel i5,32,512,14.0,Intel UHD,Windows 11,2.38,13.3,2434.04,2
HP,Model 827,AMD Ryzen 9,16,1024,15.6,NVIDIA RTX 3070,Windows 10,1.31,3.0,2087.77,2
MSI,Model 828,Intel i5,16,1024,13.3,NVIDIA RTX 3060,Windows 11,1.28,13.6,2142.37,3
Razer,Model 829,Intel i5,16,256,13.3,NVIDIA RTX 3070,Linux,1.18,3.2,2095.93,1
Asus,Model 830,Intel i7,16,256,15.6,Intel UHD,Linux,2.86,12.1,1323.83,2
Asus,Model 831,AMD Ryzen 9,16,512,13.3,NVIDIA RTX 3060,macOS,2.78,7.3,1636.3,1
Apple,Model 832,AMD Ryzen 9,8,2048,14.0,NVIDIA RTX 3060,Windows 11,1.15,11.9,2638.08,1
Lenovo,Model 833,AMD Ryzen 9,8,2048,17.0,NVIDIA GTX 1650,macOS,2.4,7.8,1747.03,2
Dell,Model 834,Intel i7,8,512,15.6,NVIDIA RTX 3070,macOS,1.21,3.9,1962.7,1
Lenovo,Model 835,Intel i5,32,1024,14.0,NVIDIA RTX 3070,macOS,3.26,12.2,1932.33,1
Apple,Model 836,Intel i7,64,512,14.0,NVIDIA GTX 1650,Windows 11,3.27,3.9,2859.08,2
Asus,Model 837,AMD Ryzen 7,16,512,13.3,AMD Radeon,macOS,2.75,14.1,1452.55,2
Lenovo,Model 838,AMD Ryzen 7,32,1024,14.0,Intel UHD,Linux,3.32,3.6,1713.45,3
Asus,Model 839,Intel i7,16,2048,15.6,NVIDIA RTX 3070,macOS,3.03,8.8,2205.9,2
MSI,Model 840,AMD Ryzen 9,8,512,14.0,NVIDIA GTX 1650,Linux,3.07,11.7,1871.08,1
Razer,Model 841,Intel i5,32,2048,17.0,NVIDIA RTX 3060,Linux,2.42,7.7,2653.12,2
Dell,Model 842,Intel i7,8,512,14.0,NVIDIA GTX 1650,Windows 11,1.77,5.6,1570.59,3
MSI,Model 843,Intel i7,16,1024,14.0,AMD Radeon,macOS,1.54,12.1,2118.86,2
Asus,Model 844,Intel i7,16,1024,17.0,Intel UHD,Windows 11,1.82,12.4,1664.77,1
Asus,Model 845,Intel i9,64,256,14.0,AMD Radeon,Linux,2.57,14.1,2242.97,2
HP,Model 846,AMD Ryzen 7,16,1024,14.0,NVIDIA RTX 3060,Windows 10,1.43,7.5,1915.28,1
HP,Model 847,AMD Ryzen 9,8,256,13.3,NVIDIA RTX 3060,macOS,1.65,9.1,2237.2,2
MSI,Model 848,AMD Ryzen 5,16,512,15.6,NVIDIA RTX 3060,Windows 11,2.17,7.4,2000.34,3
Acer,Model 849,AMD Ryzen 9,64,2048,13.3,NVIDIA RTX 3060,Windows 10,1.58,6.1,2338.85,3
MSI,Model 850,AMD Ryzen 5,64,1024,15.6,NVIDIA GTX 1650,macOS,2.47,12.0,2245.33,2
HP,Model 851,Intel i9,8,1024,17.0,NVIDIA RTX 3060,macOS,3.31,7.1,1903.38,1
Asus,Model 852,Intel i7,32,1024,17.0,NVIDIA RTX 3060,Windows 11,2.87,8.1,2065.69,3
Apple,Model 853,Intel i9,16,512,17.0,NVIDIA GTX 1650,Windows 10,2.67,7.8,2638.35,1
MSI,Model 854,Intel i9,64,256,15.6,NVIDIA RTX 3060,Windows 11,2.46,11.6,2931.08,2
Asus,Model 855,Intel i5,16,512,15.6,AMD Radeon,macOS,2.22,14.0,1507.39,3
Apple,Model 856,AMD Ryzen 7,16,2048,15.6,AMD Radeon,macOS,1.47,11.0,2533.55,3
Apple,Model 857,AMD Ryzen 5,32,512,17.0,NVIDIA RTX 3070,Linux,3.24,8.7,2699.41,1
HP,Model 858,Intel i7,64,2048,15.6,AMD Radeon,macOS,1.62,12.4,2374.57,3
MSI,Model 859,AMD Ryzen 5,16,1024,14.0,Intel UHD,macOS,1.23,10.7,1822.84,1
Lenovo,Model 860,AMD Ryzen 9,64,2048,13.3,Intel UHD,Windows 10,2.88,3.7,1960.94,1
Dell,Model 861,AMD Ryzen 5,8,2048,17.0,Intel UHD,Windows 10,1.44,4.1,1417.74,2
HP,Model 862,AMD Ryzen 9,8,256,13.3,NVIDIA GTX 1650,Linux,1.93,3.5,1730.83,1
HP,Model 863,AMD Ryzen 7,16,2048,14.0,AMD Radeon,Linux,1.07,8.5,2224.28,3
Lenovo,Model 864,AMD Ryzen 9,64,2048,15.6,Intel UHD,Linux,1.34,12.9,2084.18,1
Dell,Model 865,AMD Ryzen 5,16,512,13.3,NVIDIA RTX 3070,Windows 11,1.43,6.8,1962.44,3
Asus,Model 866,AMD Ryzen 5,64,1024,14.0,NVIDIA GTX 1650,Windows 11,1.14,7.6,1961.88,1
Acer,Model 867,AMD Ryzen 9,64,512,14.0,NVIDIA RTX 3070,Linux,2.64,13.9,2401.87,2
MSI,Model 868,Intel i9,32,512,13.3,AMD Radeon,Windows 11,3.09,13.0,2298.98,2
Acer,Model 869,AMD Ryzen 7,32,1024,17.0,NVIDIA RTX 3060,macOS,1.93,11.0,2193.93,1
Asus,Model 870,Intel i5,32,1024,13.3,NVIDIA RTX 3070,Linux,3.19,6.2,1819.46,1
Razer,Model 871,Intel i7,16,2048,17.0,NVIDIA RTX 3060,Linux,1.53,4.4,2415.26,1
HP,Model 872,AMD Ryzen 5,32,2048,15.6,NVIDIA GTX 1650,Windows 11,1.81,3.2,1673.9,2
Dell,Model 873,Intel i7,32,256,17.0,NVIDIA RTX 3070,Windows 10,1.38,4.3,2039.06,1
HP,Model 874,Intel i5,8,512,15.6,NVIDIA RTX 3070,Linux,2.55,6.5,1698.33,1
Apple,Model 875,Intel i7,64,1024,13.3,NVIDIA GTX 1650,Windows 11,2.05,9.6,3167.78,3
HP,Model 876,Intel i5,64,2048,15.6,NVIDIA GTX 1650,Windows 11,2.53,3.8,1989.36,2
HP,Model 877,AMD Ryzen 9,32,1024,14.0,Intel UHD,Windows 10,2.9,4.6,1756.17,2
Asus,Model 878,Intel i9,64,2048,15.6,AMD Radeon,Linux,2.36,5.2,2267.34,1
Asus,Model 879,AMD Ryzen 5,8,256,17.0,NVIDIA RTX 3070,Windows 10,2.57,10.6,1931.86,1
Asus,Model 880,Intel i5,8,256,17.0,NVIDIA RTX 3070,macOS,3.34,10.4,2198.84,3
Acer,Model 881,Intel i7,32,1024,17.0,NVIDIA GTX 1650,Windows 10,1.75,9.6,1648.97,1
Apple,Model 882,AMD Ryzen 5,8,256,15.6,NVIDIA GTX 1650,Windows 10,1.9,6.0,2034.98,2
Razer,Model 883,Intel i9,64,1024,17.0,AMD Radeon,Windows 11,2.79,7.5,2968.12,3
Razer,Model 884,AMD Ryzen 9,16,2048,17.0,NVIDIA GTX 1650,Windows 10,2.53,4.2,2519.28,2
Asus,Model 885,AMD Ryzen 5,64,512,14.0,NVIDIA RTX 3060,macOS,1.45,5.7,2278.31,1
Dell,Model 886,Intel i5,16,256,15.6,NVIDIA RTX 3060,Windows 11,1.94,13.8,2000.39,3
Acer,Model 887,Intel i9,32,2048,14.0,NVIDIA RTX 3060,macOS,2.17,14.8,2254.51,2
Lenovo,Model 888,Intel i7,16,512,17.0,NVIDIA RTX 3060,Windows 10,2.05,10.8,1993.4,2
Dell,Model 889,Intel i9,8,512,17.0,AMD Radeon,macOS,1.45,14.0,2129.11,2
MSI,Model 890,Intel i9,64,512,17.0,NVIDIA RTX 3070,macOS,3.31,10.7,2934.97,1
MSI,Model 891,AMD Ryzen 7,16,2048,15.6,NVIDIA RTX 3060,Windows 10,2.91,3.4,2262.89,1
Dell,Model 892,Intel i9,64,2048,13.3,NVIDIA GTX 1650,Windows 10,2.2,15.0,2687.2,1
Asus,Model 893,Intel i9,32,1024,17.0,NVIDIA RTX 3060,Windows 11,2.7,4.2,2284.99,1
Lenovo,Model 894,AMD Ryzen 5,32,512,17.0,AMD Radeon,Windows 11,3.24,11.2,1798.52,2
Lenovo,Model 895,Intel i7,8,512,17.0,NVIDIA GTX 1650,Linux,1.34,6.0,1769.51,3
Acer,Model 896,AMD Ryzen 5,32,512,17.0,NVIDIA RTX 3060,Windows 11,1.63,7.7,1653.03,1
Lenovo,Model 897,AMD Ryzen 5,16,1024,15.6,NVIDIA RTX 3070,Windows 10,2.36,10.8,2038.21,3
MSI,Model 898,Intel i5,32,512,13.3,NVIDIA GTX 1650,macOS,3.0,8.2,2012.78,2
Apple,Model 899,AMD Ryzen 5,8,2048,13.3,NVIDIA GTX 1650,macOS,1.09,6.0,2166.06,1
Asus,Model 900,AMD Ryzen 7,64,512,13.3,NVIDIA RTX 3070,Windows 11,3.46,7.0,2306.7,2
Lenovo,Model 901,AMD Ryzen 7,64,256,17.0,NVIDIA GTX 1650,Windows 11,2.14,7.1,1807.3,1
Acer,Model 902,Intel i5,32,2048,17.0,NVIDIA RTX 3060,Windows 10,1.9,14.5,1954.01,1
MSI,Model 903,AMD Ryzen 9,16,1024,13.3,NVIDIA GTX 1650,macOS,1.73,12.6,2414.17,3
Apple,Model 904,Intel i7,8,512,13.3,NVIDIA RTX 3060,Linux,1.44,8.5,2535.36,2
HP,Model 905,Intel i7,16,256,17.0,NVIDIA RTX 3070,Linux,2.98,5.4,2005.17,2
HP,Model 906,AMD Ryzen 5,8,1024,17.0,Intel UHD,Windows 11,3.39,12.7,1288.52,2
Apple,Model 907,AMD Ryzen 5,32,1024,14.0,NVIDIA RTX 3070,Linux,2.03,4.9,2898.84,3
MSI,Model 908,AMD Ryzen 9,8,2048,14.0,NVIDIA RTX 3060,Windows 10,3.38,5.5,2450.32,3
Acer,Model 909,AMD Ryzen 5,8,1024,14.0,AMD Radeon,Linux,3.06,7.4,1590.69,2
Apple,Model 910,Intel i7,32,1024,13.3,NVIDIA RTX 3070,Windows 11,2.2,13.6,2925.43,2
Asus,Model 911,Intel i9,16,1024,15.6,AMD Radeon,Windows 10,2.69,4.6,1742.87,1
Asus,Model 912,AMD Ryzen 7,32,1024,17.0,AMD Radeon,macOS,2.09,4.5,1725.91,1
HP,Model 913,Intel i9,8,512,14.0,NVIDIA RTX 3060,Windows 10,2.4,8.9,2299.92,3
Lenovo,Model 914,Intel i9,32,512,15.6,NVIDIA RTX 3060,Windows 11,1.15,6.3,2034.01,1
Acer,Model 915,Intel i7,8,512,17.0,Intel UHD,Windows 11,2.74,9.8,1390.05,2
HP,Model 916,Intel i9,32,512,15.6,NVIDIA GTX 1650,Linux,1.13,8.4,2146.78,2
Lenovo,Model 917,AMD Ryzen 9,64,256,13.3,NVIDIA RTX 3070,Linux,3.04,8.2,2250.79,1
Lenovo,Model 918,Intel i5,64,512,13.3,NVIDIA RTX 3060,macOS,3.06,4.3,1734.93,1
Razer,Model 919,AMD Ryzen 5,32,1024,13.3,NVIDIA RTX 3070,macOS,1.59,4.7,2616.61,3
Asus,Model 920,Intel i5,16,512,14.0,AMD Radeon,Windows 11,1.81,12.9,1571.94,1
MSI,Model 921,AMD Ryzen 7,8,512,17.0,NVIDIA GTX 1650,Windows 11,2.2,13.6,1897.82,3
Dell,Model 922,AMD Ryzen 5,64,2048,13.3,Intel UHD,Windows 11,2.49,5.8,1947.55,1
MSI,Model 923,Intel i9,16,1024,14.0,NVIDIA RTX 3070,macOS,1.72,4.4,2308.78,1
Dell,Model 924,AMD Ryzen 7,8,512,14.0,NVIDIA GTX 1650,Windows 11,2.48,3.6,1659.86,1
Apple,Model 925,AMD Ryzen 5,64,512,14.0,Intel UHD,macOS,1.74,10.3,2180.22,1
Asus,Model 926,AMD Ryzen 9,64,512,14.0,NVIDIA RTX 3070,Windows 11,1.14,11.6,2443.36,2
Lenovo,Model 927,AMD Ryzen 9,32,256,13.3,NVIDIA GTX 1650,Windows 10,1.01,7.5,1819.08,2
Acer,Model 928,AMD Ryzen 9,8,512,14.0,NVIDIA RTX 3060,Windows 10,1.25,11.2,2003.63,2
Dell,Model 929,AMD Ryzen 9,16,2048,13.3,NVIDIA RTX 3070,Windows 11,2.98,11.6,2301.14,1
MSI,Model 930,Intel i9,16,1024,13.3,NVIDIA GTX 1650,Windows 10,3.4,14.2,2196.32,3
Lenovo,Model 931,Intel i5,16,1024,14.0,Intel UHD,macOS,2.07,3.8,1472.97,1
Dell,Model 932,AMD Ryzen 5,8,512,13.3,NVIDIA GTX 1650,Linux,2.28,5.3,1257.9,2
Dell,Model 933,Intel i9,16,512,17.0,NVIDIA RTX 3060,Windows 10,1.37,3.8,1872.18,3
Razer,Model 934,AMD Ryzen 9,16,512,17.0,NVIDIA RTX 3070,Linux,2.38,13.4,2821.6,3
Dell,Model 935,Intel i5,16,1024,15.6,NVIDIA RTX 3070,Windows 10,1.36,12.5,2031.39,2
Acer,Model 936,AMD Ryzen 7,32,1024,17.0,NVIDIA RTX 3070,macOS,2.53,9.9,1848.72,1
Asus,Model 937,AMD Ryzen 7,32,256,13.3,NVIDIA RTX 3060,Windows 10,3.33,4.0,1948.45,3
Acer,Model 938,AMD Ryzen 7,8,2048,13.3,Intel UHD,Windows 10,1.49,6.3,1563.67,3
HP,Model 939,AMD Ryzen 9,8,256,17.0,NVIDIA RTX 3070,Windows 11,2.91,6.6,1920.39,2
Lenovo,Model 940,AMD Ryzen 7,16,2048,14.0,Intel UHD,Linux,1.06,9.7,1581.25,3
Asus,Model 941,Intel i7,32,256,14.0,NVIDIA GTX 1650,Linux,1.94,6.1,1924.17,3
Razer,Model 942,AMD Ryzen 5,64,1024,13.3,Intel UHD,macOS,1.28,3.9,2441.43,3
Asus,Model 943,AMD Ryzen 5,64,256,14.0,Intel UHD,macOS,1.88,11.8,1672.32,1
Asus,Model 944,AMD Ryzen 9,16,2048,15.6,NVIDIA RTX 3070,Linux,1.43,6.6,2521.0,1
MSI,Model 945,Intel i7,16,512,15.6,AMD Radeon,Windows 11,1.93,8.4,1785.09,2
Asus,Model 946,Intel i9,32,2048,17.0,AMD Radeon,Windows 11,2.04,4.5,1815.27,1
Razer,Model 947,Intel i9,32,512,17.0,NVIDIA RTX 3060,Linux,1.75,12.6,2743.01,3
Acer,Model 948,AMD Ryzen 7,32,1024,14.0,NVIDIA RTX 3060,Windows 10,2.64,9.8,1779.16,1
Asus,Model 949,Intel i5,8,2048,13.3,AMD Radeon,Linux,3.3,13.8,1703.7,3
Apple,Model 950,Intel i9,8,256,17.0,NVIDIA GTX 1650,Windows 10,2.0,8.9,2514.71,3
Lenovo,Model 951,Intel i5,16,2048,15.6,NVIDIA RTX 3070,Linux,1.48,14.3,2110.31,1
Asus,Model 952,AMD Ryzen 5,8,512,17.0,NVIDIA RTX 3070,Windows 10,1.68,13.7,1686.37,1
Lenovo,Model 953,Intel i5,32,1024,17.0,NVIDIA GTX 1650,Windows 11,3.14,9.9,1794.06,1
Apple,Model 954,AMD Ryzen 5,32,256,15.6,NVIDIA GTX 1650,Linux,2.43,14.2,2314.88,1
Apple,Model 955,Intel i7,8,2048,13.3,AMD Radeon,macOS,2.14,6.9,2602.69,2
Lenovo,Model 956,Intel i7,64,512,17.0,NVIDIA RTX 3060,Windows 10,1.37,7.4,2241.41,1
Dell,Model 957,AMD Ryzen 9,16,256,17.0,NVIDIA GTX 1650,Windows 11,2.12,3.5,1822.61,2
HP,Model 958,AMD Ryzen 9,64,1024,17.0,NVIDIA RTX 3060,macOS,1.7,10.1,2679.57,3
MSI,Model 959,AMD Ryzen 7,16,256,14.0,Intel UHD,Windows 11,3.36,11.7,1784.66,2
Dell,Model 960,Intel i9,64,1024,17.0,NVIDIA RTX 3070,Windows 10,3.21,12.3,2963.11,3
Dell,Model 961,AMD Ryzen 7,8,256,15.6,AMD Radeon,Linux,1.21,4.8,1767.37,2
Acer,Model 962,AMD Ryzen 5,16,2048,13.3,NVIDIA RTX 3070,Windows 11,2.29,8.3,1943.58,2
MSI,Model 963,AMD Ryzen 7,16,512,13.3,AMD Radeon,Linux,1.56,5.1,1996.25,3
MSI,Model 964,Intel i5,16,2048,15.6,Intel UHD,Linux,2.03,10.9,1896.04,2
Dell,Model 965,AMD Ryzen 5,32,2048,14.0,NVIDIA RTX 3070,Windows 11,3.19,4.9,2510.12,3
Asus,Model 966,AMD Ryzen 9,32,1024,15.6,Intel UHD,Windows 11,2.32,13.8,1689.34,1
Acer,Model 967,Intel i7,64,1024,13.3,AMD Radeon,Windows 11,1.84,5.8,2220.14,3
Acer,Model 968,AMD Ryzen 9,8,1024,15.6,NVIDIA GTX 1650,Linux,1.52,6.5,1590.28,2
Apple,Model 969,Intel i9,32,2048,14.0,NVIDIA RTX 3070,macOS,3.0,13.2,2961.58,1
Razer,Model 970,AMD Ryzen 5,16,256,13.3,Intel UHD,Windows 10,2.56,8.5,1806.72,2
MSI,Model 971,AMD Ryzen 5,32,256,14.0,NVIDIA RTX 3070,macOS,2.17,3.3,1989.94,1
Dell,Model 972,Intel i5,8,2048,15.6,NVIDIA RTX 3070,Linux,1.54,8.9,2336.2,3
Apple,Model 973,Intel i9,32,2048,17.0,NVIDIA RTX 3070,Windows 11,1.84,4.0,3046.71,1
Lenovo,Model 974,Intel i7,16,512,15.6,NVIDIA RTX 3060,Windows 11,3.4,14.8,1740.87,1
HP,Model 975,AMD Ryzen 5,64,1024,14.0,Intel UHD,Windows 10,2.3,10.1,1526.67,1
Razer,Model 976,AMD Ryzen 5,16,1024,15.6,Intel UHD,Windows 10,2.0,6.1,1867.25,2
Razer,Model 977,Intel i5,8,2048,17.0,NVIDIA RTX 3070,macOS,2.3,9.8,2107.62,1
Razer,Model 978,AMD Ryzen 7,64,2048,14.0,NVIDIA GTX 1650,macOS,2.95,3.9,2457.11,3
Acer,Model 979,Intel i7,32,256,15.6,NVIDIA RTX 3070,Windows 10,1.85,12.6,2240.46,3
Lenovo,Model 980,AMD Ryzen 9,32,2048,14.0,NVIDIA RTX 3060,Linux,1.45,14.1,2519.57,3
Razer,Model 981,Intel i9,32,256,14.0,AMD Radeon,macOS,2.46,13.5,2397.32,1
Lenovo,Model 982,AMD Ryzen 5,64,2048,13.3,NVIDIA RTX 3060,Windows 11,2.66,7.1,2145.25,3
Asus,Model 983,AMD Ryzen 5,16,512,13.3,NVIDIA GTX 1650,Windows 11,2.78,6.9,1435.94,2
Razer,Model 984,AMD Ryzen 9,64,512,14.0,NVIDIA RTX 3070,Linux,3.2,3.4,2896.26,3
HP,Model 985,Intel i7,64,256,15.6,Intel UHD,Windows 10,1.93,10.8,1728.45,1
Lenovo,Model 986,AMD Ryzen 7,8,1024,15.6,NVIDIA RTX 3070,macOS,1.19,9.4,2303.51,3
Lenovo,Model 987,AMD Ryzen 5,64,512,15.6,NVIDIA GTX 1650,Windows 11,3.4,8.5,1878.9,1
HP,Model 988,Intel i7,32,256,17.0,Intel UHD,Windows 10,2.09,13.9,1681.16,1
Razer,Model 989,AMD Ryzen 9,16,2048,14.0,NVIDIA RTX 3060,macOS,2.56,5.0,2646.83,3
HP,Model 990,Intel i5,16,2048,14.0,AMD Radeon,Linux,2.67,3.1,1616.16,2
Lenovo,Model 991,AMD Ryzen 7,16,256,17.0,AMD Radeon,Windows 11,2.37,3.9,1143.84,2
HP,Model 992,Intel i9,32,1024,14.0,NVIDIA RTX 3070,Linux,1.51,5.7,2432.62,3
Lenovo,Model 993,AMD Ryzen 5,32,256,14.0,NVIDIA RTX 3060,Linux,2.89,3.4,1462.5,1
Lenovo,Model 994,Intel i7,32,256,17.0,NVIDIA GTX 1650,Linux,3.01,9.0,1653.76,3
Asus,Model 995,Intel i5,32,512,13.3,AMD Radeon,macOS,2.38,6.8,1368.43,1
Dell,Model 996,Intel i9,32,256,14.0,NVIDIA RTX 3060,Linux,2.22,5.2,2338.25,1
Lenovo,Model 997,Intel i7,64,256,17.0,NVIDIA RTX 3070,macOS,1.28,12.0,2470.33,1
Razer,Model 998,Intel i7,32,2048,15.6,Intel UHD,macOS,1.21,5.5,2303.62,2
Apple,Model 999,Intel i9,32,512,13.3,NVIDIA RTX 3070,Linux,1.85,11.3,3110.19,2
Acer,Model 1000,Intel i5,32,2048,15.6,NVIDIA RTX 3070,Linux,1.78,7.2,2326.9,3
MSI,Model 1001,AMD Ryzen 9,32,2048,14.0,NVIDIA RTX 3060,Windows 10,3.38,9.1,2663.2,2
Dell,Model 1002,Intel i5,16,1024,13.3,AMD Radeon,Windows 11,2.96,14.2,1556.14,1
Dell,Model 1003,AMD Ryzen 7,32,1024,17.0,NVIDIA RTX 3060,Windows 10,2.65,3.4,1902.56,1
Dell,Model 1004,AMD Ryzen 5,64,512,14.0,Intel UHD,Windows 11,2.29,9.0,2021.93,3
Asus,Model 1005,Intel i9,64,512,17.0,NVIDIA RTX 3060,Windows 11,1.42,13.3,2535.52,1
Lenovo,Model 1006,AMD Ryzen 9,64,1024,13.3,NVIDIA GTX 1650,Windows 10,3.45,10.1,2284.38,3
Asus,Model 1007,Intel i9,8,1024,15.6,NVIDIA RTX 3070,Windows 10,1.94,6.3,2346.78,3
Lenovo,Model 1008,Intel i9,16,1024,14.0,AMD Radeon,Windows 11,1.27,7.8,1890.23,1
Razer,Model 1009,Intel i5,32,1024,14.0,Intel UHD,Windows 11,2.23,11.2,1968.11,2
Asus,Model 1010,AMD Ryzen 5,8,1024,17.0,NVIDIA RTX 3070,Windows 11,3.18,13.7,2088.51,1
Asus,Model 1011,AMD Ryzen 7,32,2048,13.3,NVIDIA RTX 3060,macOS,3.22,3.5,1987.54,1
Acer,Model 1012,Intel i7,8,512,17.0,NVIDIA GTX 1650,Windows 11,1.03,3.9,1864.39,3
Apple,Model 1013,Intel i7,8,2048,13.3,NVIDIA RTX 3060,Linux,3.22,6.9,2538.52,2
Asus,Model 1014,Intel i9,64,2048,14.0,NVIDIA RTX 3070,Linux,1.68,5.8,3084.39,3
Acer,Model 1015,AMD Ryzen 5,64,256,13.3,Intel UHD,Linux,1.1,6.2,1500.09,1
HP,Model 1016,AMD Ryzen 9,8,2048,14.0,AMD Radeon,Windows 10,3.12,5.7,1769.19,3
